role,role_label,player,nation,original_price,refined_price,change
P,Portiere,Munir El Kajoui,Marocco,1,1,0
P,Portiere,Noureddin Bani Attiah,Giordania,1,1,0
P,Portiere,O. Baumann,Germania,1,1,0
P,Portiere,Oussama Benbout,Algeria,1,1,0
P,Portiere,Owen Goodman,Canada,1,1,0
P,Portiere,P. Beach,Australia,1,1,0
P,Portiere,P. Izzo,Australia,1,1,0
P,Portiere,P. Niazmand,Iran,1,1,0
P,Portiere,P. Pentz,Austria,1,1,0
P,Portiere,R. Goss,Sudafrica,1,1,0
P,Portiere,R. Risser,Francia,1,1,0
P,Portiere,R. Roefs,Paesi Bassi,1,1,0
P,Portiere,Roberto Fernández,Paraguay,1,1,0
P,Portiere,Rui Silva,Portogallo,1,1,0
P,Portiere,S. Chaine,Sudafrica,1,1,0
P,Portiere,S. Hosseini,Iran,1,1,0
P,Portiere,S. Lammens,Belgio,1,1,0
P,Portiere,Sabri Ben Hessen,Tunisia,1,1,0
P,Portiere,Salah Zakaria,Qatar,1,1,0
P,Portiere,Santiago Mele,Uruguay,1,1,0
P,Portiere,Seung-gyu Kim,Corea del Sud,1,1,0
P,Portiere,T. Bodak,Curaçao,1,1,0
P,Portiere,T. Doornbusch,Curaçao,1,1,0
P,Portiere,T. Fayulu,Repubblica Democratica del Congo,1,1,0
P,Portiere,T. Hayakawa,Giappone,1,1,0
P,Portiere,U. Yusupov,Uzbekistan,1,1,0
P,Portiere,Vozinha,Capo Verde,1,1,0
P,Portiere,Weverton,Brasile,1,1,0
P,Portiere,Y. Diouf,Senegal,1,1,0
P,Portiere,Yvon Mvogo,Svizzera,1,1,0
D,Difensore,Achraf Hakimi,Marocco,15,28,13
D,Difensore,D. Dumfries,Paesi Bassi,14,24,10
D,Difensore,Joshua Kimmich,Germania,14,24,10
D,Difensore,Nuno Mendes,Portogallo,14,24,10
D,Difensore,J. Koundé,Francia,13,21,8
D,Difensore,Josko Gvardiol,Croazia,13,21,8
D,Difensore,Marquinos,Brasile,13,21,8
D,Difensore,Theo Hernández,Francia,13,21,8
D,Difensore,A. Rüdiger,Germania,12,18,6
D,Difensore,N. O'Reilly,Inghilterra,12,18,6
D,Difensore,Pau Cubarsí,Spagna,12,18,6
D,Difensore,Ruben Dias,Portogallo,12,18,6
D,Difensore,Virgil van Dijk,Paesi Bassi,12,18,6
D,Difensore,W. Saliba,Francia,12,18,6
D,Difensore,Cancelo,Portogallo,11,15,4
D,Difensore,Cristian Romero,Argentina,11,15,4
D,Difensore,Gabriel Magalhães,Brasile,11,15,4
D,Difensore,J. Tah,Germania,11,15,4
